Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Morocco,MAR,2004,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,50.8
Morocco,MAR,2004,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,23.6
Morocco,MAR,2004,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,49.5
Morocco,MAR,2004,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,49.4
Morocco,MAR,2004,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,63.9
Morocco,MAR,2004,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,42.8
Morocco,MAR,2019,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.11476
Morocco,MAR,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.09654
Morocco,MAR,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.12237
Morocco,MAR,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.11909
Morocco,MAR,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.11558
Morocco,MAR,2019,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.48891
Morocco,MAR,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.40654
Morocco,MAR,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.50344
